x y_real y_hermite сетка функция
1.59596 0.0783094 0.0783094 uniform exp(-x^2)
1.59596 0.0783094 0.0783095 chebyshev exp(-x^2)
1.59596 1.59596 1.5954 uniform |x|
1.59596 1.59596 1.60424 chebyshev |x|
1.63636 0.068722 0.068722 uniform exp(-x^2)
1.63636 0.068722 0.068722 chebyshev exp(-x^2)
1.63636 1.63636 1.57537 uniform |x|
1.63636 1.63636 1.65079 chebyshev |x|
1.67677 0.0601118 0.0601118 uniform exp(-x^2)
1.67677 0.0601118 0.0601118 chebyshev exp(-x^2)
1.67677 1.67677 1.32833 uniform |x|
1.67677 1.67677 1.69421 chebyshev |x|
1.71717 0.0524089 0.0524091 uniform exp(-x^2)
1.71717 0.0524089 0.0524089 chebyshev exp(-x^2)
1.71717 1.71717 0.731847 uniform |x|
1.71717 1.71717 1.73216 chebyshev |x|
1.75758 0.0455442 0.0455447 uniform exp(-x^2)
1.75758 0.0455442 0.0455442 chebyshev exp(-x^2)
1.75758 1.75758 -0.276635 uniform |x|
1.75758 1.75758 1.76554 chebyshev |x|
1.79798 0.0394496 0.0394504 uniform exp(-x^2)
1.79798 0.0394496 0.0394496 chebyshev exp(-x^2)
1.79798 1.79798 -1.60499 uniform |x|
1.79798 1.79798 1.79919 chebyshev |x|
1.83838 0.0340592 0.0340604 uniform exp(-x^2)
1.83838 0.0340592 0.0340592 chebyshev exp(-x^2)
1.83838 1.83838 -2.90282 uniform |x|
1.83838 1.83838 1.83945 chebyshev |x|
1.87879 0.0293095 0.0293109 uniform exp(-x^2)
1.87879 0.0293095 0.0293095 chebyshev exp(-x^2)
1.87879 1.87879 -3.51863 uniform |x|
1.87879 1.87879 1.88792 chebyshev |x|
1.91919 0.0251399 0.0251412 uniform exp(-x^2)
1.91919 0.0251399 0.0251399 chebyshev exp(-x^2)
1.91919 1.91919 -2.67222 uniform |x|
1.91919 1.91919 1.93471 chebyshev |x|
1.9596 0.0214933 0.0214938 uniform exp(-x^2)
1.9596 0.0214933 0.0214933 chebyshev exp(-x^2)
1.9596 1.9596 -0.141696 uniform |x|
1.9596 1.9596 1.96509 chebyshev |x|
2 0.0183156 0.0183156 uniform exp(-x^2)
2 0.0183156 0.0183157 chebyshev exp(-x^2)
2 2 2 uniform |x|
2 2 2.01496 chebyshev |x|
